Alabama	9	0
Alaska	3	0
Arizona	11	0
Arkansas	6	0
California	54	-1
Colorado	10	+1
Connecticut	7	0
Delaware	3	0
District of Columbia	3	0
Florida	30	+1
Georgia	16	0
Hawaii	4	0
Idaho	4	0
Illinois	19	-1
Indiana	11	0
Iowa	6	0
Kansas	6	0
Kentucky	8	0
Louisiana	8	0
Maine	4	0
Maryland	10	0
Massachusetts	11	0
Michigan	15	-1
Minnesota	10	0
Mississippi	6	0
Missouri	10	0
Montana	4	+1
Nebraska	5	0
Nevada	6	0
New Hampshire	4	0
New Jersey	14	0
New Mexico	5	0
New York	28	-1
North Carolina	16	+1
North Dakota	3	0
Ohio	17	-1
Oklahoma	7	0
Oregon	8	+1
Pennsylvania	19	-1
Rhode Island	4	0
South Carolina	9	0
South Dakota	3	0
Tennessee	11	0
Texas	40	+2
Utah	6	0
Vermont	3	0
Virginia	13	0
Washington	12	0
West Virginia	4	-1
Wisconsin	10	0
Wyoming	3	0
